"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1235,"Animal.557",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.05,0,0.71,0.29
1236,"Animal.558",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.15,0,0.3,0.7
1237,"Animal.559",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.015,0,0.8,0.2
1238,"Animal.56",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.084,0.16,0.54,0.31
1239,"Animal.560",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.084,0,0.58,0.42
1240,"Animal.561",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.061,0,0.67,0.33
1241,"Animal.562",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.141,0,0.33,0.67
1242,"Animal.563",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.147,0.3,0.2,0.5
1243,"Animal.564",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.071,0.52,0.3,0.18
1244,"Animal.565",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.125,0.38,0.23,0.39
1245,"Animal.566",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.061,0.54,0.31,0.16
1246,"Animal.567",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.085,0.49,0.28,0.22
1247,"Animal.568",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.129,0.36,0.22,0.41
1248,"Animal.57",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.051,0.21,0.59,0.2
1249,"Animal.571",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.048,0.56,0.31,0.13
1250,"Animal.572",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.034,0.58,0.32,0.1
1251,"Animal.573",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.08,0.5,0.29,0.21
1252,"Animal.574",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.133,0.35,0.22,0.43
1253,"Animal.575",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.076,0.51,0.3,0.2
1254,"Animal.576",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.103,0.45,0.26,0.29
1255,"Animal.578",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.121,0.39,0.24,0.37
1256,"Animal.58",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.106,0.12,0.47,0.4
1257,"Animal.582",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.071,0.52,0.3,0.18
1258,"Animal.583",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.016,0.61,0.32,0.08
1259,"Animal.584",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",-0.033,0.66,0.3,0.05
1260,"Animal.585",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.006,0.62,0.32,0.07
1261,"Animal.586",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.099,0.46,0.27,0.27
1262,"Animal.588",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.075,0.51,0.29,0.2
1263,"Animal.589",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.121,0.39,0.24,0.37
1264,"Animal.59",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.119,0.11,0.43,0.46
1265,"Animal.590",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.112,0.42,0.25,0.33
1266,"Animal.591",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.221,0,0.29,0.71
1267,"Animal.592",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.151,0,0.48,0.52
1268,"Animal.593",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.082,0,0.73,0.27
1269,"Animal.594",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.159,0,0.46,0.54
1270,"Animal.595",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.156,0.23,0.34,0.43
1271,"Animal.596",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.167,0,0.43,0.57
1272,"Animal.597",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.216,0,0.29,0.71
1273,"Animal.598",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.136,0.3,0.36,0.34
1274,"Animal.599",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.054,0.18,0.49,0.33
1275,"Animal.6",25,"Tell Surezha",3,"LC 1-3",6,"Ast",0.099,0.59,0.3,0.1
1276,"Animal.60",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.216,0.02,0.13,0.85
1277,"Animal.600",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.095,0.11,0.37,0.52
1278,"Animal.601",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.113,0.09,0.31,0.6
1279,"Animal.602",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.036,0.22,0.52,0.26
1280,"Animal.603",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.059,0.17,0.47,0.35
1281,"Animal.604",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.059,0.17,0.47,0.35
1282,"Animal.605",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.028,0.23,0.54,0.23
1283,"Animal.606",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.017,0.25,0.55,0.2
1284,"Animal.607",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.095,0.11,0.37,0.52
1285,"Animal.608",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.1,0.11,0.35,0.54
1286,"Animal.609",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.042,0.4,0.38,0.22
1287,"Animal.61",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.139,0.08,0.36,0.56
1288,"Animal.610",12,"Mezraa-Teleilat",1,"PPNB",3,"Rad_dist",0.031,0,0.61,0.39
1289,"Animal.611",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.017,0.45,0.39,0.16
